keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife set,B0B9CKRF1Z,155,0,0,0
mccook knife set,B07HGRSC74,156,0,0,0
mccook knife set,B0DC9NDHVN,158,0,0,0
mccook knife set,B0D4B55VXJ,160,0,0,0
mccook knife set,B0DM2KVB77,161,0,0,0
mccook knife set,B0FG2S91V1,162,0,0,0
mccook knife set,B0CRGVPK86,164,0,0,0
mccook knife set,B0DMQXYRHP,166,0,0,0
mccook knife set,B0DF71RVQZ,168,0,0,0
mccook knife set,B09SBQP6C4,170,0,0,0
mccook knife set,B08FMTRFLW,171,0,0,0
mccook knife set,B0CN3TL8X9,172,0,0,0
mccook knife set,B0C27DQDHD,175,0,0,0
mccook knife set,B0BW9239PC,176,0,0,0
mccook knife set,B083Y587M4,177,0,0,0
mccook knife set,B073RSLMQZ,179,0,0,0
mccook knife set,B0CWP6367T,180,0,0,0
mccook knife set,B08FP28KRT,181,0,0,0
mccook knife set,B0D7HFN6RY,182,0,0,0
mccook knife set,B0CF183C4S,183,0,0,0
mccook knife set,B0CFYBSSB5,184,0,0,0
mccook knife set,B09WNFY6GW,185,0,0,0
mccook knife set,B0C5KKM7T8,186,0,0,0
mccook knife set,B0F38JCVQ6,187,0,0,0
mccook knife set,B07CV159WD,188,0,0,0
mccook knife set,B07PPD7931,190,0,0,0
mccook knife set,B01BW4BWRC,191,0,0,0
mccook knife set,B0CVQXSN17,192,0,0,0
mccook knife set,B0FF8PN8G9,194,0,0,0
mccook knife set,B0CTGWJJM9,196,0,0,0
mccook knife set,B0FCLHN2PJ,197,0,0,0
mccook knife set,B08YMKNDNY,198,0,0,0
mccook knife set,B0FQN4YMF1,199,0,0,0
mccook knife set,B09Y159535,200,0,0,0
mccook knife set,B0B6QDC7SQ,201,0,0,0
mccook knife set,B0CGXJ1F9W,202,0,0,0
mccook knife set,B0D2RL9LRL,203,0,0,0
mccook knife set,B0BS49P3Q9,204,0,0,0
mccook knife set,B0C4BC9ZKW,205,0,0,0
mccook knife set,B0CSK1LNS1,206,0,0,0
mccook knife set,B00004RFN0,208,0,0,0
mccook knife set,B00GIBK06E,209,0,0,0
mccook knife set,B0CN2WR336,210,0,0,0
mccook knife set,B074T6C4YS,211,0,0,0
mccook knife set,B0B8Z7TQD1,212,0,0,0
mccook knife set,B0D8VX9NN9,214,0,0,0
mccook knife set,B0BFWF1PKF,215,0,0,0
mccook knife set,B074V3LZB5,216,0,0,0
mccook knife set,B07X1XMGVX,218,0,0,0
mccook knife set,B0BY9N8B33,219,0,0,0
mccook knife set,B0DQYB15NG,220,0,0,0
mccook knife set,B0CB159CM2,222,0,0,0
mccook knife set,B0773S2V6R,223,0,0,0
mccook knife set,B0BKH3TKKZ,224,0,0,0
