product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0DSK7JYLW,"PAUDIN Tomato Knife, 5 inch Serrated Tomato Knives with Sheath, High Carbon Stainless Steel Tomato Slicer Knife for Smooth Cutting Slicing Vegetables and Fruits",35.99,0.2800560112022404,4.6,149,kitchen & dining,,,56729.0,1,1,10,5,100.0
B0CYXGDTVJ,"Paudin Premium Whetstone Knife Sharpener Stone Kit 1000/6000 Grit - Japanese Waterstone Sharpening Stones for Knives with Flattening Stone, Bamboo Base, NonSlip Base, Angle Guide & Water absorber",45.99,0.54005400540054,5.0,4,tools & home improvement,,,783953.0,0,1,9,5,
B0DKFYLVNL,8-Piece ZILNEHZ Damascus Kitchen Knife Set - Resin Handle Knife Set - 67-Layer Japanese VG10 Steel - Chef's Cleaver Knife & More Razor-Sharp,1699.99,,0.0,0,,,,,0,1,9,5,
B07S2TDMBK,Cuisinart C55-10PCERM Ceramic Coated Knife Set with Blade Guard Sheaths (10- Piece Set) in Dark Pastels,31.99,,4.7,702,kitchen & dining,,,45483.0,1,1,5,5,50.0
B0DM82BWSR,PAUDIN Fillet Knife + Carving Knife and Fork Set,59.49,0.386574551453908,0.0,0,,,,,1,1,9,5,
B09N7G38FP,PAUDIN Cleaver Knife + Paring Knife,55.99,0.363605364855649,5.0,4,,,,,1,1,9,5,
B0FBRQRPLX,"Natura Series 15 PCS Knife Block Set, Ultra Sharp High Carbon Stainless Steel with Wooden Handle",113.99,0.0500041670139178,3.9,11,kitchen & dining,,,262757.0,1,1,10,5,
B09S9YQS7W,PAUDIN Kitchen Utility Knife and Boning Knife,21.59,0.8560570704713647,5.0,6,,,,,1,1,9,5,
B09D3DZCQB,"PAUDIN 12 Inch Slicing Knife and Carving Knife Set, German Steel, Full Tang G10 Handle",41.99,0.5625130235465722,5.0,1,,,,,1,1,9,5,
B07QHHXMFR,"Cuisinart C55-10PBW Advantage-Cutlery-Set, 10-Piece, Black",31.99,,4.6,280,kitchen & dining,,,289186.0,1,1,10,6,
B0B8MLGQFQ,"Cuisinart Block Knife Set 15pc Cutlery Knife Set with Steel Blades for Precise Cutting, Lightweight, Stainless Steel Durable& Dishwasher Safe, Natural",109.95,,4.6,463,kitchen & dining,,,26011.0,1,1,6,5,50.0
B0C37CN71P,PAUDIN Bread Knife + Paring Knife 3.5 Inch,22.5,0.8124687447907984,5.0,1,,,,,1,1,10,5,
B096XCY3S9,"PrinChef Knife Set, 19 Pcs Rust Proof Knives Set for Kitchen, with Acrylic Stand, Sharpener, Scissors and Peeler, Stainless Steel kitchen knife set Nonstick and No Scratch",39.98,0.0,4.5,1107,kitchen & dining,,,53219.0,1,1,10,6,100.0
B0FBWK81R9,"DRAGON ROIT Japanese Knives Set Damascus Pattern Chef Knife Set for Kitchen with Roll Bag, Sharp Stainless Kitchen Knife Set Brown Handle",119.99,,4.9,16,kitchen & dining,,,224273.0,1,1,9,5,
B0BMNQMH9J,"HENCKELS Dynamic Razor-Sharp 5-Piece Kitchen Knife Set, Chef Knife, Bread Knife, German Engineered Informed by 100+ Years of Mastery",41.28,0.7051217944138867,4.4,287,kitchen & dining,,,24392.0,1,1,10,8,200.0
B0DM81MGR9,PAUDIN Brisket Knife + Chef Knife,28.48,0.7410438261502091,0.0,0,,,,,1,1,9,5,
